FEATURE,FEATURE_IMPORTANCE
Stimulus 4 Animal_1 distance,0.05
Stimulus 6 Animal_1 distance,0.04
Stimulus 5 Animal_1 distance,0.04
Stimulus 1 Animal_1 distance,0.04
Stimulus 2 Animal_1 distance,0.04
Stimulus 3 Animal_1 distance,0.03
Stimulus 4 Animal_1 in zone,0.02
Sum_probabilities,0.01
Nose_movement_M1_mean_5,0.01
Nose_movement_M1_sum_5,0.01
Nose_movement_M1_median_6,0.01
Mouse1_width_median_15,0.01
Stimulus 6 Animal_1 facing,0.01
Tail_end_movement_M1_sum_15,0.01
Nose_movement_M1_sum_6,0.01
Nose_movement_M1_median_7.5,0.01
Nose_movement_M1_mean_7.5,0.01
Nose_movement_M1_sum_7.5,0.01
Nose_movement_M1_median_15,0.01
Nose_movement_M1_mean_15,0.01
Nose_movement_M1_sum_15,0.01
Total_movement_M1_median_15,0.01
Mouse_angle,0.01
Total_angle_deviation,0.01
Sum_probabilities_deviation,0.01
Nose_movement_M1_mean_6,0.01
Mouse_Centroid_to_lateral_left,0.01
Stimulus 6 Animal_1 in zone,0.01
Mouse_Nose_to_lateral_left,0.01
Mouse_Nose_to_lateral_right,0.01
Mouse_Nose_to_centroid,0.01
Mouse_Centroid_to_lateral_right,0.01
Stimulus 3 Animal_1 facing,0.01
Tail_end_movement_M1_median_15,0.01
Tail_end_movement_M1_mean_15,0.01
Stimulus 5 Animal_1 in zone,0.01
Stimulus 3 Animal_1 in zone,0.01
Stimulus 2 Animal_1 in zone,0.01
Stimulus 5 Animal_1 facing,0.01
Stimulus 1 Animal_1 in zone,0.01
Mouse_nose_to_tail,0.01
Stimulus 4 Animal_1 facing,0.01
Tail_end_relative_to_tail_base_centroid_nose,0.0
Tail_end_relative_to_tail_base_centroid_nose_M1_7.5,0.0
Total_movement_M1_sum_15,0.0
Tail_end_relative_to_tail_base_centroid_nose_M1_2,0.0
Tail_end_relative_to_tail_base_centroid_nose_M1_5,0.0
Tail_end_relative_to_tail_base_centroid_nose_M1_6,0.0
Nose_movement_M1_median_2,0.0
Tail_end_relative_to_tail_base_centroid_nose_M1_15,0.0
Total_movement_all_bodyparts_deviation,0.0
M1_smallest_euclid_distances_hull_deviation,0.0
M1_largest_euclid_distances_hull_deviation,0.0
M1_mean_euclid_distances_hull_deviation,0.0
Movement_mouse_deviation_centroid,0.0
Total_movement_M1_mean_15,0.0
Total_movement_M1_sum_5,0.0
Total_movement_M1_sum_7.5,0.0
Total_movement_M1_mean_7.5,0.0
Total_movement_M1_median_7.5,0.0
Total_movement_M1_sum_6,0.0
Total_movement_M1_mean_6,0.0
Total_movement_M1_median_6,0.0
Nose_movement_M1_mean_2,0.0
Total_movement_M1_mean_5,0.0
Total_movement_M1_median_5,0.0
Total_movement_M1_sum_2,0.0
Total_movement_M1_mean_2,0.0
Total_movement_M1_median_2,0.0
Mouse1_smallest_euclid_distances_mean_2_deviation,0.0
Nose_movement_M1_median_5,0.0
Nose_movement_M1_sum_2,0.0
Mouse_polygon_deviation,0.0
Mouse1_mean_euclid_distances_mean_6_deviation,0.0
Mouse1_smallest_euclid_distances_mean_5_deviation,0.0
Mouse1_mean_euclid_distances_mean_15_percentile_rank,0.0
Mouse1_smallest_euclid_distances_mean_5_percentile_rank,0.0
Mouse1_smallest_euclid_distances_mean_6_percentile_rank,0.0
Mouse1_smallest_euclid_distances_mean_7.5_percentile_rank,0.0
Mouse1_smallest_euclid_distances_mean_15_percentile_rank,0.0
Mouse1_largest_euclid_distances_mean_2_percentile_rank,0.0
Mouse1_largest_euclid_distances_mean_5_percentile_rank,0.0
Mouse1_largest_euclid_distances_mean_6_percentile_rank,0.0
Mouse1_largest_euclid_distances_mean_7.5_percentile_rank,0.0
Mouse1_largest_euclid_distances_mean_15_percentile_rank,0.0
Tortuosity_Mouse1_2,0.0
Tortuosity_Mouse1_5,0.0
Tortuosity_Mouse1_6,0.0
Tortuosity_Mouse1_7.5,0.0
Tortuosity_Mouse1_15,0.0
Sum_probabilities_deviation_percentile_rank,0.0
Sum_probabilities_percentile_rank,0.0
Low_prob_detections_0.1,0.0
Low_prob_detections_0.5,0.0
Low_prob_detections_0.75,0.0
Stimulus 1 Animal_1 facing,0.0
Stimulus 2 Animal_1 facing,0.0
Mouse1_smallest_euclid_distances_mean_2_percentile_rank,0.0
Mouse1_mean_euclid_distances_mean_7.5_percentile_rank,0.0
Mouse1_smallest_euclid_distances_mean_6_deviation,0.0
Mouse1_mean_euclid_distances_mean_6_percentile_rank,0.0
Mouse1_smallest_euclid_distances_mean_7.5_deviation,0.0
Mouse1_smallest_euclid_distances_mean_15_deviation,0.0
Mouse1_largest_euclid_distances_mean_2_deviation,0.0
Mouse1_largest_euclid_distances_mean_5_deviation,0.0
Mouse1_largest_euclid_distances_mean_6_deviation,0.0
Mouse1_largest_euclid_distances_mean_7.5_deviation,0.0
Mouse1_largest_euclid_distances_mean_15_deviation,0.0
Mouse1_mean_euclid_distances_mean_2_deviation,0.0
Mouse1_mean_euclid_distances_mean_5_deviation,0.0
Tail_end_movement_M1_mean_7.5,0.0
Mouse1_mean_euclid_distances_mean_7.5_deviation,0.0
Mouse1_mean_euclid_distances_mean_15_deviation,0.0
Movement_mouse_percentile_rank,0.0
Movement_mouse_deviation_percentile_rank,0.0
Total_movement_M1_mean_2_percentile_rank,0.0
Total_movement_M1_mean_5_percentile_rank,0.0
Total_movement_M1_mean_6_percentile_rank,0.0
Total_movement_M1_mean_7.5_percentile_rank,0.0
Total_movement_M1_mean_15_percentile_rank,0.0
Mouse1_mean_euclid_distances_mean_2_percentile_rank,0.0
Mouse1_mean_euclid_distances_mean_5_percentile_rank,0.0
Tail_end_movement_M1_sum_7.5,0.0
Mouse_poly_area,0.0
Tail_end_movement_M1_median_7.5,0.0
Mouse1_width_sum_7.5,0.0
Mouse1_width_sum_15,0.0
Mouse1_mean_euclid_distances_median_2,0.0
Mouse1_mean_euclid_distances_mean_2,0.0
Mouse1_mean_euclid_distances_sum_2,0.0
Mouse1_mean_euclid_distances_median_5,0.0
Mouse1_mean_euclid_distances_mean_5,0.0
Mouse1_mean_euclid_distances_sum_5,0.0
Mouse1_mean_euclid_distances_median_6,0.0
Mouse1_mean_euclid_distances_mean_6,0.0
Mouse1_mean_euclid_distances_sum_6,0.0
Mouse1_mean_euclid_distances_median_7.5,0.0
Mouse1_mean_euclid_distances_mean_7.5,0.0
Mouse1_mean_euclid_distances_sum_7.5,0.0
Mouse1_mean_euclid_distances_median_15,0.0
Mouse1_mean_euclid_distances_mean_15,0.0
Mouse1_mean_euclid_distances_sum_15,0.0
Mouse1_smallest_euclid_distances_median_2,0.0
Mouse1_smallest_euclid_distances_mean_2,0.0
Mouse1_smallest_euclid_distances_sum_2,0.0
Mouse1_smallest_euclid_distances_median_5,0.0
Mouse1_smallest_euclid_distances_mean_5,0.0
Mouse1_smallest_euclid_distances_sum_5,0.0
Mouse1_smallest_euclid_distances_median_6,0.0
Mouse1_smallest_euclid_distances_mean_6,0.0
Mouse1_smallest_euclid_distances_sum_6,0.0
Mouse1_width_mean_15,0.0
Mouse1_width_mean_7.5,0.0
Mouse1_smallest_euclid_distances_mean_7.5,0.0
Mouse1_width_median_7.5,0.0
Mouse_width,0.0
Mouse_Ear_distance,0.0
Movement_mouse_centroid,0.0
Movement_mouse_nose,0.0
Movement_mouse_tail_base,0.0
Movement_mouse_tail_end,0.0
Movement_mouse_left_ear,0.0
Movement_mouse_right_ear,0.0
Movement_mouse_lateral_left,0.0
Movement_mouse_lateral_right,0.0
Mouse_polygon_size_change,0.0
M1_largest_euclidean_distance_hull,0.0
M1_smallest_euclidean_distance_hull,0.0
M1_mean_euclidean_distance_hull,0.0
M1_sum_euclidean_distance_hull,0.0
Total_movement_all_bodyparts_M1,0.0
Mouse1_width_median_2,0.0
Mouse1_width_mean_2,0.0
Mouse1_width_sum_2,0.0
Mouse1_width_median_5,0.0
Mouse1_width_mean_5,0.0
Mouse1_width_sum_5,0.0
Mouse1_width_median_6,0.0
Mouse1_width_mean_6,0.0
Mouse1_width_sum_6,0.0
Mouse1_smallest_euclid_distances_median_7.5,0.0
Mouse1_smallest_euclid_distances_sum_7.5,0.0
Tail_end_movement_M1_sum_6,0.0
Tail_base_movement_M1_mean_7.5,0.0
Tail_base_movement_M1_median_15,0.0
Tail_base_movement_M1_mean_15,0.0
Tail_base_movement_M1_sum_15,0.0
Centroid_movement_M1_median_2,0.0
Centroid_movement_M1_mean_2,0.0
Centroid_movement_M1_sum_2,0.0
Centroid_movement_M1_median_5,0.0
Centroid_movement_M1_mean_5,0.0
Centroid_movement_M1_sum_5,0.0
Centroid_movement_M1_median_6,0.0
Centroid_movement_M1_mean_6,0.0
Centroid_movement_M1_sum_6,0.0
Centroid_movement_M1_median_7.5,0.0
Centroid_movement_M1_mean_7.5,0.0
Centroid_movement_M1_sum_7.5,0.0
Centroid_movement_M1_median_15,0.0
Centroid_movement_M1_mean_15,0.0
Centroid_movement_M1_sum_15,0.0
Tail_end_movement_M1_median_2,0.0
Tail_end_movement_M1_mean_2,0.0
Tail_end_movement_M1_sum_2,0.0
Tail_end_movement_M1_median_5,0.0
Tail_end_movement_M1_mean_5,0.0
Tail_end_movement_M1_sum_5,0.0
Tail_end_movement_M1_mean_6,0.0
Tail_base_movement_M1_sum_7.5,0.0
Tail_base_movement_M1_median_7.5,0.0
Mouse1_smallest_euclid_distances_median_15,0.0
Tail_base_movement_M1_sum_6,0.0
Mouse1_smallest_euclid_distances_mean_15,0.0
Mouse1_smallest_euclid_distances_sum_15,0.0
Mouse1_largest_euclid_distances_median_2,0.0
Mouse1_largest_euclid_distances_mean_2,0.0
Mouse1_largest_euclid_distances_sum_2,0.0
Mouse1_largest_euclid_distances_median_5,0.0
Mouse1_largest_euclid_distances_mean_5,0.0
Mouse1_largest_euclid_distances_sum_5,0.0
Mouse1_largest_euclid_distances_median_6,0.0
Mouse1_largest_euclid_distances_mean_6,0.0
Mouse1_largest_euclid_distances_sum_6,0.0
Mouse1_largest_euclid_distances_median_7.5,0.0
Mouse1_largest_euclid_distances_mean_7.5,0.0
Mouse1_largest_euclid_distances_sum_7.5,0.0
Mouse1_largest_euclid_distances_median_15,0.0
Mouse1_largest_euclid_distances_mean_15,0.0
Mouse1_largest_euclid_distances_sum_15,0.0
Tail_base_movement_M1_median_2,0.0
Tail_base_movement_M1_mean_2,0.0
Tail_base_movement_M1_sum_2,0.0
Tail_base_movement_M1_median_5,0.0
Tail_base_movement_M1_mean_5,0.0
Tail_base_movement_M1_sum_5,0.0
Tail_base_movement_M1_median_6,0.0
Tail_base_movement_M1_mean_6,0.0
Tail_end_movement_M1_median_6,0.0
